DFIRM_ID,FIRM_PAN,PANEL,ST_FIPS,PCOMM,EFF_DATE,PRE_DATE,PANEL_TYP,eff_date,pre_date,county_fips
12017C,12017C0314E,0314,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0311E,0311,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0313E,0313,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0041E,0041,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0043E,0043,12,017C,1610668800000.0,1538179200000.0,"Countywide, Panel Printed",2021-01-15,2018-09-29,12017
12017C,12017C0329D,0329,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0345D,0345,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0336D,0336,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0338D,0338,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0337D,0337,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0339D,0339,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0467D,0467,12,017C,1411689600000.0,253392451200000.0,"Countywide, Not Printed",2014-09-26,9999-09-09,12017
12017C,12017C0328D,0328,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0062D,0062,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0064D,0064,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0063D,0063,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0067D,0067,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
12017C,12017C0066D,0066,12,017C,1411689600000.0,253392451200000.0,"Countywide, Panel Printed",2014-09-26,9999-09-09,12017
